DesignatorQuantityNamePriceSource
A11A4988 Motor Driver$5.13https://www.aliexpress.com/item/1005007988050979.html?spm=a2g0o.cart.0.0.440338dakTt8D5&mp=1&pdp_npi=5%40dis%21AUD%21AUD%207.97%21AUD%203.23%21%21AUD%203.23%21%21%21%402103209b17486889160791148ef42c%2112000043173756354%21ct%21AU%216138339337%21%211%210
BZ1, BZ22Piezo$0.00Preowned
J1, J51ESP32-WROOM Dev Board$4.24https://www.aliexpress.com/item/1005006456519790.html?spm=a2g0o.cart.0.0.440338dakTt8D5&mp=1&pdp_npi=5%40dis%21AUD%21AUD%2019.78%21AUD%206.61%21%21AUD%206.54%21%21%21%402103209b17486891610565728ef42c%2112000037265317361%21ct%21AU%216138339337%21%211%210
J21NEMA17 Stepper Motor$13.91https://www.omc-stepperonline.com/e-series-nema-17-bipolar-42ncm-59-49oz-in-1-5a-42x42x38mm-4-wires-w-1m-cable-connector-17he15-1504s
J31SSD1306 128x64 oled display$3.15Pre-owned
J4, J61Buck Converter$3.09https://www.aliexpress.com/item/1005007259901753.html?spm=a2g0o.cart.0.0.440338daqTCfxn&mp=1&pdp_npi=5%40dis%21AUD%21AUD%205.19%21AUD%204.82%21%21AUD%204.82%21%21%21%402103209b17486874478864904ef41b%2112000039979305524%21ct%21AU%216138339337%21%211%210
, J82USBA Female port$8.80LCSC
J91Big Red Button$0.00Preowned
J101DHT22$1.72https://www.aliexpress.com/item/32759901711.html?spm=a2g0o.cart.0.0.440338da5UwoCi&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.69%21AUD%202.69%21%21AUD%202.69%21%21%21%402103209b17486892082806346ef42c%2162102476019%21ct%21AU%216138339337%21%211%210
J111RTC$2.27https://www.aliexpress.com/item/1005008172587774.html?spm=a2g0o.cart.0.0.440338da9RQI3F&mp=1&pdp_npi=5%40dis%21AUD%21AUD%203.54%21AUD%203.54%21%21AUD%203.37%21%21%21%402103209b17486892363106702ef42c%2112000044177906467%21ct%21AU%216138339337%21%211%210
SW2, SW3, SW4, SW546mm Button$0.00Preowned
1PCB$12.06JLCPCB
10M3 Heatsets$2.49https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.cart.0.0.440338daAcKdXD&mp=1&pdp_npi=5%40dis%21AUD%21AUD%203.89%21AUD%203.89%21%21AUD%203.81%21%21%21%402103209b17486893043897987ef42c%2112000026370649803%21ct%21AU%216138339337%21%211%210
14M3 Screws$1.00https://www.aliexpress.com/item/32810852732.html?spm=a2g0o.cart.0.0.440338dakTt8D5&mp=1&pdp_npi=5%40dis%21AUD%21AUD%202.32%21AUD%201.56%21%21AUD%201.56%21%21%21%402103209b17486889160791148ef42c%2112000037550700849%21ct%21AU%216138339337%21%211%210
